id,name,adset_id,campaign_id,status,creative,tracking_specs,conversion_specs,created_time,updated_time,creative_details
23848874532200177,Vid1 C2,23848874531320177,23848874497880177,ACTIVE,{'id': '23848874583320177'},"[{'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['offsite_conversion'], 'fb_pixel': ['888129544670051']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4618620074849492']}, {'action.type': ['link_click'], 'post': ['4618620074849492'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['3232115013521763']}]",2021-09-05T08:05:35-0400,2021-09-05T08:23:58-0400,{}
23848874532160177,Vid1 C2,23848874523060177,23848874497880177,ACTIVE,{'id': '23848874583370177'},"[{'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['offsite_conversion'], 'fb_pixel': ['888129544670051']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4618620131516153']}, {'action.type': ['link_click'], 'post': ['4618620131516153'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['3232115013521763']}]",2021-09-05T08:05:37-0400,2021-09-05T08:23:53-0400,{}
23848874531310177,Vid1 C1,23848874531320177,23848874497880177,ACTIVE,{'id': '23848874583520177'},"[{'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['offsite_conversion'], 'fb_pixel': ['888129544670051']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4618620221516144']}, {'action.type': ['link_click'], 'post': ['4618620221516144'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['3232115013521763']}]",2021-09-05T08:05:35-0400,2021-09-05T08:23:52-0400,{}
23848874523050177,Vid1 C1,23848874523060177,23848874497880177,ACTIVE,{'id': '23848874583410177'},"[{'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['offsite_conversion'], 'fb_pixel': ['888129544670051']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4618620201516146']}, {'action.type': ['link_click'], 'post': ['4618620201516146'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['3232115013521763']}]",2021-09-05T08:05:37-0400,2021-09-05T08:23:52-0400,{}
23848874527370177,Vid1 C1,23848874527380177,23848874497880177,ACTIVE,{'id': '23848874583440177'},"[{'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['offsite_conversion'], 'fb_pixel': ['888129544670051']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4618620148182818']}, {'action.type': ['link_click'], 'post': ['4618620148182818'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['3232115013521763']}]",2021-09-05T08:05:31-0400,2021-09-05T08:23:50-0400,{}
23848326156420177,Collection Page Ads - Interests video,23848326155770177,23848236416450177,PAUSED,{'id': '23848432726950177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4444381408940027']}, {'action.type': ['link_click'], 'post': ['4444381408940027'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-06-23T08:32:42-0400,2021-09-05T08:17:50-0400,{}
23848456666900177,Product Ads - Add-To-Cart (Dynamic)  carouselProducts,23848236418040177,23848236417570177,PAUSED,{'id': '23848456666750177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['link_click'], 'post': ['4454263241285177'], 'post.wall': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4454263241285177']}]","[{'action.type': ['offsite_engagement'], 'conversion_id': ['5609206795819260']}]",2021-07-12T05:06:38-0400,2021-08-18T17:12:24-0400,{}
23848236423380177,Product Ads - Product Views (Dynamic) carouselProducts,23848236422150177,23848236417570177,PAUSED,{'id': '23848236423060177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4364489993595836']}, {'action.type': ['link_click'], 'post': ['4364489993595836'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_engagement'], 'conversion_id': ['5609206795819260']}]",2021-06-09T15:52:46-0400,2021-08-18T17:12:22-0400,{}
23848456667830177,Product Ads - Prospective Audience  carouselProducts,23848236420530177,23848236417570177,PAUSED,{'id': '23848456667580177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4454263444618490']}, {'action.type': ['link_click'], 'post': ['4454263444618490'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_engagement'], 'conversion_id': ['5609206795819260']}]",2021-07-12T05:06:43-0400,2021-08-18T17:12:21-0400,{}
23848456661760177,Product Ads - Recent Visitors Best Sellers carouselProducts,23848305260740177,23848236412050177,PAUSED,{'id': '23848456661430177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['link_click'], 'post': ['4454261164618718'], 'post.wall': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4454261164618718']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-07-12T05:05:53-0400,2021-08-18T17:12:19-0400,{}
23848456662320177,Product Ads - Recent Visitors Trendy Products carouselProducts,23848305260740177,23848236412050177,PAUSED,{'id': '23848456662220177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4454261334618701']}, {'action.type': ['link_click'], 'post': ['4454261334618701'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-07-12T05:05:59-0400,2021-08-18T17:12:18-0400,{}
23848456663010177,Product Ads - Recent Visitors High Revenue Products carouselProducts,23848305260740177,23848236412050177,PAUSED,{'id': '23848456662900177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4454261644618670']}, {'action.type': ['link_click'], 'post': ['4454261644618670'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-07-12T05:06:04-0400,2021-08-18T17:12:17-0400,{}
23848556927580177,Tree Ads - Trees Grand Collection carouselProducts,23848556926410177,23848236412050177,PAUSED,{'id': '23848556927340177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['link_click'], 'post': ['4496137483764419'], 'post.wall': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4496137483764419']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-07-26T15:18:44-0400,2021-08-18T17:12:16-0400,{}
23848556928960177,Tree Ads - Trees Petite Collection carouselProducts,23848556926410177,23848236412050177,PAUSED,{'id': '23848556928720177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['link_click'], 'post': ['4496138153764352'], 'post.wall': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4496138153764352']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-07-26T15:18:59-0400,2021-08-18T17:12:15-0400,{}
23848556929670177,Tree Ads - Trees Mini Collection carouselProducts,23848556926410177,23848236412050177,PAUSED,{'id': '23848556929560177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['link_click'], 'post': ['4496138393764328'], 'post.wall': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4496138393764328']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-07-26T15:19:06-0400,2021-08-18T17:12:14-0400,{}
23848556928190177,Tree Ads - Trees Best Sellers carouselProducts,23848556926410177,23848236412050177,PAUSED,{'id': '23848556928000177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4496137800431054']}, {'action.type': ['link_click'], 'post': ['4496137800431054'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-07-26T15:18:51-0400,2021-08-18T17:12:13-0400,{}
23848556930720177,Tree Ads - Trees High Revenue Products carouselProducts,23848556926410177,23848236412050177,PAUSED,{'id': '23848556930470177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['link_click'], 'post': ['4496138817097619'], 'post.wall': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4496138817097619']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-07-26T15:19:13-0400,2021-08-18T17:12:12-0400,{}
23848456664670177,Product Ads - Top Customers Combo High Revenue Products carouselProducts,23848236414970177,23848236412050177,PAUSED,{'id': '23848456664450177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4454262354618599']}, {'action.type': ['link_click'], 'post': ['4454262354618599'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-07-12T05:06:19-0400,2021-08-18T17:12:11-0400,{}
23848456663820177,Product Ads - Top Customers Combo Best Sellers carouselProducts,23848236414970177,23848236412050177,PAUSED,{'id': '23848456663710177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4454261904618644']}, {'action.type': ['link_click'], 'post': ['4454261904618644'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-07-12T05:06:09-0400,2021-08-18T17:12:10-0400,{}
