id,name,campaign_id,status,targeting,optimization_goal,billing_event,bid_amount,budget_remaining,attribution_spec,start_time,countries,age_min,age_max,genders,custom_audiences,excluded_custom_audiences,daily_budget,lifetime_budget
23849138910850177,Auto - MOF + BOF - Stack,23849138910870177,ACTIVE,"{'age_max': 65, 'age_min': 40, 'excluded_custom_audiences': [{'id': '23848874448390177', 'name': 'BP - PUR 30D'}], 'custom_audiences': [{'id': '23848874419150177', 'name': 'BP - WV 30D'}, {'id': '23848874426160177', 'name': 'BP - TOP 25% 180D'}, {'id': '23848874428740177', 'name': 'BP - VC >3 180D'}, {'id': '23848874431900177', 'name': 'BP - ATC 180D'}, {'id': '23848874442360177', 'name': 'BP - IC 180D'}, {'id': '23848874445850177', 'name': 'BP - PUR 180D'}, {'id': '23848874455790177', 'name': 'BP - VV 10Sec 365D'}, {'id': '23848874456540177', 'name': 'BP - FB ENG 365D'}, {'id': '23848874457590177', 'name': 'BP - IG  ENG 365D'}], 'geo_locations': {'countries': ['US'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'brand_safety_content_filter_levels': ['FACEBOOK_STANDARD', 'AN_STANDARD']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-06T11:14:32-0400,['US'],40,65,[],"['BP - WV 30D', 'BP - TOP 25% 180D', 'BP - VC >3 180D', 'BP - ATC 180D', 'BP - IC 180D', 'BP - PUR 180D', 'BP - VV 10Sec 365D', 'BP - FB ENG 365D', 'BP - IG  ENG 365D']",['BP - PUR 30D'],,
23849126978130177,Prospective Audience - All - 333630574910555 - Copy,23849126977870177,ACTIVE,"{'age_max': 65, 'age_min': 25, 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'targeting_optimization': 'expansion_all', 'publisher_platforms': ['facebook', 'instagram', 'audience_network'], 'facebook_positions': ['feed', 'right_hand_column', 'marketplace', 'story'], 'instagram_positions': ['stream', 'story', 'explore'], 'device_platforms': ['mobile', 'desktop'], 'audience_network_positions': ['classic', 'instream_video', 'rewarded_video']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-05T04:12:23-0400,"['US', 'GB']",25,65,[],[],[],,
23849126978120177,Prospective Audience - Women - 222004113098515 - Copy,23849126977870177,PAUSED,"{'age_max': 65, 'age_min': 45, 'genders': [2], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'publisher_platforms': ['facebook', 'instagram', 'audience_network'], 'facebook_positions': ['feed', 'right_hand_column', 'marketplace', 'story'], 'instagram_positions': ['stream', 'story', 'explore'], 'device_platforms': ['mobile', 'desktop'], 'audience_network_positions': ['classic', 'instream_video', 'rewarded_video']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-05T04:12:29-0400,"['US', 'GB']",45,65,[2],[],[],,
23849126978110177,Auto - #Best preform Stack - Women 30+ - Copy,23849126977870177,PAUSED,"{'age_max': 65, 'age_min': 30, 'flexible_spec': [{'interests': [{'id': '6003019539929', 'name': 'Gift'}, {'id': '6003031649055', 'name': 'Glass art'}, {'id': '6003142974961', 'name': 'Painting'}, {'id': '6003273071999', 'name': 'Unique Gifts'}, {'id': '6003523650770', 'name': 'Color printing'}], 'family_statuses': [{'id': '6023005681983', 'name': 'Parents with teenagers (13-17 years)'}], 'life_events': [{'id': '6203620854183', 'name': 'Friends of people with birthdays in a month'}]}], 'genders': [2], 'geo_locations': {'countries': ['US'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all'}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-05T04:12:31-0400,['US'],30,65,[2],[],[],,
23849126978100177,Warm Visitors - All - Copy,23849126977870177,PAUSED,"{'age_max': 65, 'age_min': 25, 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'targeting_optimization': 'expansion_all', 'publisher_platforms': ['facebook', 'instagram', 'audience_network'], 'facebook_positions': ['feed', 'right_hand_column', 'marketplace', 'story'], 'instagram_positions': ['stream', 'story', 'explore']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-05T04:12:23-0400,"['US', 'GB']",25,65,[],[],[],,
23849126978050177,Top Customers Combo - Women - Copy,23849126977870177,PAUSED,"{'age_max': 65, 'age_min': 45, 'genders': [2], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'publisher_platforms': ['facebook', 'instagram', 'audience_network'], 'facebook_positions': ['feed', 'right_hand_column', 'marketplace', 'story'], 'instagram_positions': ['stream', 'story', 'explore']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-05T04:12:25-0400,"['US', 'GB']",45,65,[2],[],[],,
23849121767280177,Auto - #Best preform Stack - Women 25+,23849121737310177,PAUSED,"{'age_max': 65, 'age_min': 25, 'flexible_spec': [{'interests': [{'id': '6003019539929', 'name': 'Gift'}, {'id': '6003031649055', 'name': 'Glass art'}, {'id': '6003142974961', 'name': 'Painting'}, {'id': '6003273071999', 'name': 'Unique Gifts'}, {'id': '6003523650770', 'name': 'Color printing'}], 'family_statuses': [{'id': '6023005681983', 'name': 'Parents with teenagers (13-17 years)'}], 'life_events': [{'id': '6203620854183', 'name': 'Friends of people with birthdays in a month'}]}], 'genders': [2], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'brand_safety_content_filter_levels': ['FACEBOOK_STANDARD', 'AN_STANDARD']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-04T06:09:44-0400,"['US', 'GB']",25,65,[2],[],[],,
23849121737360177,Auto - #Best preform Stack - Women 25+ - Carousel,23849121737310177,PAUSED,"{'age_max': 65, 'age_min': 25, 'flexible_spec': [{'interests': [{'id': '6003019539929', 'name': 'Gift'}, {'id': '6003031649055', 'name': 'Glass art'}, {'id': '6003142974961', 'name': 'Painting'}, {'id': '6003273071999', 'name': 'Unique Gifts'}, {'id': '6003523650770', 'name': 'Color printing'}], 'family_statuses': [{'id': '6023005681983', 'name': 'Parents with teenagers (13-17 years)'}], 'life_events': [{'id': '6203620854183', 'name': 'Friends of people with birthdays in a month'}]}], 'genders': [2], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'none', 'brand_safety_content_filter_levels': ['FACEBOOK_STANDARD', 'AN_STANDARD']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-04T06:09:44-0400,"['US', 'GB']",25,65,[2],[],[],,
23849121548400177,Auto - MOF + BOF - Stack,23849121548390177,PAUSED,"{'age_max': 65, 'age_min': 40, 'excluded_custom_audiences': [{'id': '23848874448390177', 'name': 'BP - PUR 30D'}], 'custom_audiences': [{'id': '23848874419150177', 'name': 'BP - WV 30D'}, {'id': '23848874426160177', 'name': 'BP - TOP 25% 180D'}, {'id': '23848874428740177', 'name': 'BP - VC >3 180D'}, {'id': '23848874431900177', 'name': 'BP - ATC 180D'}, {'id': '23848874442360177', 'name': 'BP - IC 180D'}, {'id': '23848874445850177', 'name': 'BP - PUR 180D'}, {'id': '23848874455790177', 'name': 'BP - VV 10Sec 365D'}, {'id': '23848874456540177', 'name': 'BP - FB ENG 365D'}, {'id': '23848874457590177', 'name': 'BP - IG  ENG 365D'}], 'geo_locations': {'countries': ['US'], 'location_types': ['home']}, 'locales': [24, 6], 'targeting_optimization': 'expansion_all', 'brand_safety_content_filter_levels': ['FACEBOOK_STANDARD', 'AN_STANDARD']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-04T05:50:26-0400,['US'],40,65,[],"['BP - WV 30D', 'BP - TOP 25% 180D', 'BP - VC >3 180D', 'BP - ATC 180D', 'BP - IC 180D', 'BP - PUR 180D', 'BP - VV 10Sec 365D', 'BP - FB ENG 365D', 'BP - IG  ENG 365D']",['BP - PUR 30D'],,
23849116039330177,Auto - MOF+BOF - US + UK - Stack,23849116035040177,PAUSED,"{'age_max': 65, 'age_min': 25, 'excluded_product_audience_specs': [{'product_set_id': '333630574910555', 'inclusions': [{'retention_seconds': '7776000', 'rule': '{""event"":{""eq"":""Purchase""}}'}]}], 'excluded_custom_audiences': [{'id': '23848874448390177', 'name': 'BP - PUR 30D'}], 'custom_audiences': [{'id': '23848874419150177', 'name': 'BP - WV 30D'}, {'id': '23848874426160177', 'name': 'BP - TOP 25% 180D'}, {'id': '23848874428740177', 'name': 'BP - VC >3 180D'}, {'id': '23848874431900177', 'name': 'BP - ATC 180D'}, {'id': '23848874442360177', 'name': 'BP - IC 180D'}, {'id': '23848874445850177', 'name': 'BP - PUR 180D'}, {'id': '23848874455790177', 'name': 'BP - VV 10Sec 365D'}, {'id': '23848874456540177', 'name': 'BP - FB ENG 365D'}, {'id': '23848874457590177', 'name': 'BP - IG  ENG 365D'}], 'geo_locations': {'countries': ['US', 'GB'], 'location_types': ['home']}, 'targeting_optimization': 'none', 'publisher_platforms': ['facebook', 'instagram', 'audience_network'], 'facebook_positions': ['feed', 'right_hand_column', 'marketplace', 'story'], 'instagram_positions': ['stream', 'story', 'explore']}",OFFSITE_CONVERSIONS,IMPRESSIONS,,0,"[{'event_type': 'CLICK_THROUGH', 'window_days': 7}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]",2021-10-03T08:26:16-0400,"['US', 'GB']",25,65,[],"['BP - WV 30D', 'BP - TOP 25% 180D', 'BP - VC >3 180D', 'BP - ATC 180D', 'BP - IC 180D', 'BP - PUR 180D', 'BP - VV 10Sec 365D', 'BP - FB ENG 365D', 'BP - IG  ENG 365D']",['BP - PUR 30D'],,
